Name,Website,HQ,Type,Estimated Site Count,States,Intera ICP Score,Overall Site Quality,Recruitment Strength,Operational Maturity,Sponsor Attractiveness,Therapeutic Expertise,Historical Trials (CT.gov),Completed,Terminated/Withdrawn,Completion Rate %,Active Now,Recruiting Studies,Phase 2 Trials,Phase 3 Trials,Total Realized Enrollment,First Study Year,Years Active,Therapeutic Breadth (conditions),Performance Match Confidence,Sponsor Diversity (#),CRO Diversity (#),Repeat Sponsors (#),Industry-Sponsored Studies,Top Sponsors,Named CROs,Enrollment Velocity (inf),Startup Speed (inf),Recruitment Sophistication,Publication History (inf),CTMS,EHR,eSource,eConsent,Florence,CRIO,Clinical Conductor,RealTime,Epic,Cerner,Therapeutic Areas,Therapeutic Specialties (detail),Languages,Home Visits,Decentralized Capabilities,Number of Investigators,Approx Coordinator Count,Sponsors Worked With,CROs Worked With,Public Partnerships,Recent Hiring,Expansion,Funding,Acquisitions,Owner/Parent/Funding,Facebook Ads,Meta Pixel,Google Ads,SEO,Trial Finder,Patient Database,Recruitment Pages,Advertises Patient Recruitment,Technology Stack,Uses AI,Builds Tech Internally or Vendors,Current Recruiting Studies Visible,CEO,VP Clinical Operations,VP Site Operations,VP Recruitment/Innovation,Contact Emails,LinkedIn URL,Mentions DCT,Recruitment Capability,Notes
Iterative Health,https://iterative.health,"Cambridge, MA",Hybrid,"10+ (site network embedded in community practices; 3 cardiology acquisitions from NextStage; partnerships with GI Alliance, One GI, US Heart & Vascular)",Multiple (TX and multi-regional partnerships),9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTMS-like capabilities,,Y,,,,,,,,"GI, Hepatology, Obesity, Cardiology","GI, Hepatology, Cardiology, Obesity",English + Spanish (detected),,Y - embedded in care settings,,,Multiple pharma,Multiple CROs,Multiple health systems (Gastro One case study),Y - expanding team,Y - expanding into cardiology and obesity,"$77M Series C (April 2026); GV, Intrepid Growth Partners, EDBI, family office",,"Series C $77M (Apr 2026, Intrepid Growth Partners & GV/Google Ventures); Total funding $262.2M; 136 employees",,,,Strong; research network content,,,,Y,AI-powered platform (Clinical Trial Optimization/CTO); proprietary technology for patient matching and enrollment,Y,Builds internally,Y,Jonathan Ng (founder/CEO),Unknown,Unknown,Unknown,info@iterative.health,https://www.linkedin.com/company/iterative-health,N,AI-powered enrollment optimization; embedded in community-based care; addresses enrollment constraints (90% of trials miss targets); rapid site activation,"Excellent Intera fit: Multi-site growing network; AI-powered enrollment platform directly addresses recruitment bottleneck (90% of trials miss targets); Series C funded for rapid expansion; recruitment-constrained sponsors ideal target; expanding into high-volume areas (obesity, cardiology); embedded in community care model."
RxE2,https://rxe2.com,"Fargo, ND",DCT Network,"20,000+",National (all 50 states via pharmacy network),9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Habitu (proprietary AI platform),,Y,Y,,,,,,,All therapeutic areas (hub-and-spoke model across any indication),Multi-phase trials across diverse areas; community pharmacy-based dispensing,English + Spanish (detected),Y,Y (community pharmacy network across 36 states),,,Multiple pharma/biotech (sponsors and CROs),Multiple partners (specific names not disclosed),Independent community pharmacies network,Y (active careers page),"Y (2024 growth, pharmacy network expansion)",,"Acquired Habitu (Israeli tech company, 2021)","Pharmacist-founded (Gerald Finken, 2020); $3.5M funding",,,,Moderate (blog content on decentralized trials),N,Y,Y,Y,"Proprietary E2 platform: E2 Recruitment, E2 Dispensing, E2 Counseling; patient matching and scheduling technology; data science/AI capabilities",Y (data science team; predictive models),Builds internally,Y,"Gerald E. Finken, R.Ph., M.S.",,"Tina Schlecht, PharmD, MBA",Yoav Grinstein,Contact form on website,https://www.linkedin.com/company/rxe2,Y,"Decentralized recruitment via 20,000+ independent community pharmacies; leverages pharmacist-patient trust; addresses 80/20 problem in trials; high accessibility (9/10 Americans within 5 miles of pharmacy)","Revolutionary DCT model using 20,000+ independent community pharmacies as trial sites. Founded 2020 by Gerald Finken (40+ years pharma/biotech industry). Proprietary E2 platform for recruitment/dispensing/counseling. Founder-led and innovative. Addresses fundamental 80/20 problem in clinical trials. Strong tech/AI signals. Excellent Intera fit: DCT network, disruptive innovation, recruitment-focused, founder-led, tech-forward, addresses key industry bottleneck."
WCG Site Network,https://www.wcgclinical.com,"Princeton, NJ",Site Network,500+,All US states,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WCG eResearch/ClinSphere platform,Integration with Epic,Y,,,,,,,,Phase I-IV across all therapeutic areas,Multi-therapeutic areas; ClinSphere AI-powered platform,English + Spanish (detected),,"Y (global network, ClinSphere unifies remote operations)",,,Multiple sponsors (not specified),Multiple CROs,MRCT Center (AI ethics consortium),,Y (global reach),,,Private equity-backed,,,,"Very strong (ClinSphere platform, tech innovation content)",,,,Y,"ClinSphere (AI platform), ClinSphere Trial IntelX (predictive AI), ClinSphere Total Enrollment (SaaS), Virgil (eCOA), eReview Manager (IRB), InvestigatorSpace, various partner integrations",Y,Builds internally,Y,Sam Srivastava,Mark McDonald (Chief Operations Officer),Mark McDonald (Chief Operations Officer),"Jill Johnston (Chief Innovation Officer); Terri Moench (President, Patient Engagement)",,linkedin.com/company/wcg-clinical,Y,Advanced AI-powered recruitment and retention; ClinSphere Total Enrollment platform; predictive analytics; real-time participant tracking and optimization,"Largest traditional site network in US (500+ sites, 1,000+ PIs, 1,075+ studies placed in 5 years). Tech-forward with proprietary AI-powered ClinSphere platform. Actively advertises recruitment and retention. Perfect Intera fit: multi-site, recruitment-focused, innovation-oriented, AI-powered, mentions DCT. Strong financial backing and scaling aggressively."
Celeri Research Group,https://celerihealth.com/crg/,"Conshohocken, Pennsylvania",Hybrid,350+ pain providers/investigators,US-based national pain network,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown; curated partner network model,,Y; eCRF/ePRO,,,,,,,,"Pain, Neuromodulation, Interventional procedures","Interventional pain; neuromodulation, pain management",English + Spanish (detected),,Unknown; distributed pain provider network,350+ pain network providers,,,Multiple curated CRO/biostatistics/regulatory partners,,,350+ pain network providers; diverse therapeutic partner network,,None identified,Unknown,,,,Moderate; pain/neuromodulation specialization focus,,Y; pain network with practice-level registries,,Y,"PatientFinder™ AI (LLM), PainIntel platform, 8 EHR integrations, EDC, ePRO, QMS",Y,Builds tech internally,N,Unknown,Unknown,Unknown,David Tannenbaum (CTO and Co-Founder),cam@celerihealth.com,Unknown,N,AI-powered dynamic patient matching,"Boutique pain research network with proprietary AI-powered patient recruitment (PatientFinder™ LLM, 2025 patent-pending); 350+ pain providers; curated CRO partner model; strong tech innovation; PainIntel provides practice-level registry; EaaS model; excellent Intera strategic fit with complementary AI-driven recruitment"
Clinosis LLC,https://clinosis.com,"Orlando, FL",SMO,231,36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"Multi-specialty: Gastroenterology, Endocrinology, Rheumatology, Nephrology, Gynaecology, Urology",Multiple therapeutic areas; diverse trial types across phases,English + Spanish (detected),,"Y; coast-to-coast footprint, diverse communities",545+,,Multiple sponsors (unspecified),Multiple CROs,,"Y; Clinical Project Manager, Site Coordinator, Data Manager, Regulatory Affairs, Budget roles",231 sites; 36 states; 102+ clinical trials,,None identified,Unknown,,,,Moderate; SMO platform and site management focus,,,,Y,Unknown,N,Unknown,Y,Muhammad Idrees Khan,Unknown,Unknown,Unknown,,https://www.linkedin.com/company/clinosis,N,Coast-to-coast SMO network matching sites with trials across diverse communities,Strong SMO with 231 sites across 36 states; growth-focused 2023 founding; wide therapeutic coverage; advertises patient matching services; good Intera fit for scale and multi-state recruitment
Delicht Research,https://delrichtresearch.com/,"New Orleans, LA",Site Network,33,"18 (AR, CO, GA, IN, KS, KY, LA, MD, MO, MS, NC, OH, OK, SC, TN, TX, VA, and more)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"General Medicine, Dermatology, Cardiometabolic, Psychiatry, Neurology, Ophthalmology, Allergy/ENT/Respiratory, Vaccine, Rheumatology, Urology",,English + Spanish (detected),,,,,,,,,,,,Tyler Hastings (Founder/Managing Partner); founded 2014; 133 employees,,Y,,,Y,,Y,Y,Unknown,N,Unknown,Y,Unknown,"Austin Christian (Associate Director, Clinical Operations)",Unknown,Riley Kammer (VP Business Development),info@delricht.com,linkedin.com/company/delricht-clinical-research,N,"Exceptional; 96% of trials meet or exceed enrollment targets; 450+ trials conducted since 2014; 15,000+ patients enrolled; embedded model with rapid startup","Founded 2014 by healthcare veteran Tyler Hastings. Rapidly scaled from 1 to 33 sites across 18 states. Impressive 96% enrollment attainment rate. Embedded investigator model integrated into physician practices. Broad therapeutic mix with cardiometabolic presence. Strong recruitment track record and operational excellence. Growth-focused (founded post-2010, scaling rapidly). Excellent Intera fit for recruitment and multi-state enrollment capability."
DM Clinical Research,https://www.dmclinicalresearch.com,"Houston, Texas",Site Network,30+,"AZ, FL, IL, IN, LA, MA, MI, NJ, NM, NY, PA, TX, WA (13+ states)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vaccines, Internal Medicine, Pediatrics, GI, Psychiatry, Neurology, Women's Health, Rheumatology, Ophthalmology, Cardiology, General Medicine","Multi-therapeutic: cardiology, endocrinology, pediatrics, rheumatology, pulmonology, family medicine, immunology",English/Spanish (bilingual clinicians),,Y - 30+ research centers nationwide,320K physician/research database,700+ employees,,,,Y - actively recruiting across locations,30+ research centers across US,,,"Mohammad Millwala (CEO/Founder, 2006); Growth equity investment 2023+",Y,Y,Y,,Y,Y - 28M patient access,Y,Y,"CCRPS, Hipa.ai mentioned in notes",N,Vendors,Y,Mohammad Millwala,Unknown,Unknown,Zohair Harianawala (Chief Strategy Officer),Unknown,https://www.linkedin.com/company/dm-clinical-research,N,"Multi-specialty network with 700+ staff; 1,000+ trials completed; 20 years of operations; emphasis on diverse patient populations and community outreach; largest private clinical trial network in Texas","Strong fit: 30+ sites across 13+ states, diverse therapeutic areas, 1,000+ trials completed, 700+ staff. Founded 2006 with strong growth track record. Growth equity backing (2023+). Emphasis on community outreach and diverse populations. Uses CTMS (CCRPS, Hipa.ai). Multi-state presence and recruitment focus make this prime Intera target. Scores well on scale and recruitment capability. [Validated: 6 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Empathx (formerly Elixia / American Clinical Research Services),https://www.empathxresearch.com & https://elixiahealth.com,"Hollywood, FL / Raleigh, NC (rebranded May 2024)",SMO,12+ sites nationwide,Multiple states (exact list not specified),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nephrology, Neurology, Psychiatry, Cardio-Metabolic, Infectious Disease","Cardiology/nephrology, psychiatry/neurology, metabolic, infectious disease, diabetes, MASH/MASLD, obesity, immunocompromised",,,"Y - embedded treating physicians, dialysis practices, psychiatry networks",,,,Beacon Health Partners for psychiatry,Beacon Health Partners,,"Nationwide network, rebranded May 2024",PE-backed: Latticework Capital Management,"Elixia (May 2024), Catalina Research (2022)","Latticework Capital Management (PE, 2022); rebranded from Elixia Health/ACRS (May 2024); Adrienne Rossi in leadership",,,,,,"1,000+ randomized in obesity projects",,Y,"BEKHealth (EMR matching), centralized systems",Y,Vendors (BEKHealth partnership),Y,Dustin Owen,Sarah Petrucci,,Jeff Golden (VP Strategic Solutions),,,N,"Strong patient recruitment focus; embedded and dedicated sites; deep therapeutic expertise in specialty areas; focus on underrepresented/underserved populations; >44% racial, 36%+ ethnic diversity","PE-backed growth-focused SMO with 12+ sites; strong recruitment and diversity focus; strategic therapeutic areas with specialty expertise; BEKHealth AI for patient matching; 100+ metabolic studies conducted; leadership team emphasizes innovation and equity; excellent Intera fit—recruitment-constrained (PE-backed), innovative, multiple studies, underrepresented population focus"
ERG (Evolution Research Group),https://ergclinical.com,"Edison, NJ (Watchung, NJ headquarters)",SMO,"26 (21 owned, 5 affiliated)",US-wide network,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"Neuroscience, Psychiatry, CNS, Pain, Addiction, Sleep Disorders, NASH, Healthy Volunteers, Early-to-late phase","50+ indications: healthy volunteers, renal/hepatic, NAFLD/NASH, neurology, psychiatry, pain management",English + Spanish (detected),,Y - national network of sites,Industry-leading PIs (count unknown),,,,Centre for Human Drug Research (CHDR) partnership,,"Multiple acquisitions/mergers (RBA 2020, Ohio CT 2022, Lotus 2021, HD Research, CNS Ratings)",,"Richmond Behavioral Associates (2020), Ohio Clinical Trials (2022), Lotus Clinical Research (2021), HD Research, CNS Ratings",Linden Capital Partners (acquired 2018),,,,,Y,"Y - 215,000+ patient database",,Yes - emphasizes community outreach and patient advocacy partnerships,Unknown specific CTMS; acquired CNS Ratings (rater training platform); integrated Lotus Clinical Research (CRO services),Unknown,"Acquires/integrates platforms (CNS Ratings, Lotus Clinical Research)",Yes - across multiple therapeutic areas,Lori Wright (Founder & CEO),"Andria Chastain (President, Clinical Operations)",Unknown,Liz Harley (VP Business Development),,https://www.linkedin.com/company/evolution-research-group,No,Centralized recruitment/marketing; 215K+ special population database; 32M+ patient access; dedicated community outreach programs,"Strong Intera fit: 26-site network with 400+ inpatient beds, PE-backed, recruitment-focused, diverse therapeutic portfolio (CNS, pain, addiction), centralized operations. Advanced patient database. Phase I-IV coverage. Good enrollment capacity and infrastructure. Slightly lower score due to CNS specialization (not broad cardiometabolic focus) and unclear DCT/AI capabilities."
ICON Clinical Pharmacology (ICON plc),https://www.iconplc.com,"Dublin, Ireland (US operations: multiple sites - Lenexa KS, Salt Lake City UT, San Antonio TX)",Large SMO/CRO,"3 confirmed US sites: Lenexa KS (114 beds), Salt Lake City UT (136 beds), San Antonio TX (69,500 sq ft new facility 2026); 650+ global beds; plus international sites","KS, UT, TX",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"Broad: First-in-human, healthy volunteer studies, CNS, analgesia, abuse liability, sleep, cardiovascular (SAD/MAD, food effect, DDI, QTc), diabetic, obese, elderly, post-menopausal, NASH, GI, vaccine, device, oncology, biosimilars, pharmacokinetics, bioequivalence",,English + Spanish (detected),,,,,,,,,,,,Publicly traded (NASDAQ: ICLR); acquired by EQT & Goldman Sachs 2021 for $8.5B,,,,,,,,Y,"State-of-the-art facilities, integrated GMP manufacturing, co-located bioanalytical labs, flexible study spaces, advanced safety labs, ISO cleanroom pharmacies",N,Advanced facility integration and operational systems,Y,"Barry Balfe (as of Oct 1, 2025; succeeded Dr. Steve Cutler)",Unknown,Unknown,Unknown,Unknown (Budapest volunteer contact: budapestvolunteer@iconplc.com),https://www.linkedin.com/company/icon-plc,N,Exceptional - dedicated healthy participant recruitment teams at each US clinic; participant-centric processes; direct access to healthy participant pools,"Excellent Intera fit: Global leader in clinical research (one of world's largest CROs, 13,961 employees, $2-5B revenue). Multiple US sites (3 confirmed: 114-bed Lenexa, 136-bed Salt Lake City, 69,500 sq ft San Antonio opening 2026) with dedicated healthy participant recruitment teams at each. Large institutional buyer (PE-backed 2021, public markets). Broad therapeutic expertise across high-volume areas (vaccines, cardiometabolic, GI). Explicit recruitment emphasis ('dedicated healthy participant recruitment teams'). Sophisticated operations supporting complex early-phase studies. Excellent fit for Intera's B2B2C patient coordination platform at institutional scale. Multi-site concurrent recruiting capacity aligns perfectly with Intera's value proposition."
K2 Medical Research,https://k2med.com,"Orlando, FL",Hybrid,"7+ sites (Orlando, Maitland, Daytona Beach, Tampa, Nashville, Providence, Boston)","FL, TN, RI",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRIO,,,,,Y,,,,,"CNS (Alzheimer's, Psychiatry), Liver disease (MASH), Cardiovascular, Metabolic, Rheumatology, Autoimmune, GI, Endocrine, Women's Health, Psychedelics, Dermatology, Ophthalmology","Liver disease (NAFLD/NASH), neurodegeneration, general medicine, late phase",Spanish (staff fluent),,,"6 named (Lenox, Baez-Torres, Gonzalez, West, Belardo, McLaughlin)",30+,Pharma partners (unnamed),,,"Y (182 employees, +44 YoY)","Y (Florida, Tennessee, Rhode Island; founded 2021)",,,"TPG (growth investment Jun 2024); 182 employees; headquartered Maitland, FL",Y,Y,,,Y,,,Y,Unknown,N,Unknown,Y,Sean Stanton (co-founder),Unknown,Unknown,Teresa Mueller (SVP Marketing & Patient Engagement),Phone: 407-500-5252,https://www.linkedin.com/company/k2medicalresearch,N,"150+ studies conducted; 35+ major pharma sponsors (AbbVie, Eisai, Eli Lilly, J&J, Roche); diverse enrollment; direct sponsor relationships; regional de novo growth strategy","Strong Intera fit: Multi-site network with PE backing (TPG); recruitment-focused with diverse sponsor relationships; rapid de novo regional growth strategy; broad therapeutic coverage including high-volume areas (CNS, metabolic, cardio). Weakness: Not proprietary tech-forward like Iterative/Javara; traditional site network model. [Validated: 4 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
Medical Research Network (MRN),https://themrn.io,"Milton Keynes, UK (with US operations)",DCT Network,80+,Multiple US states (operates in 11 countries globally),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Multi-therapeutic, patient-centric focus",,,,,,,,,,,,,,Growth equity funded; acquired VCTC (Jan 2025) for global expansion,,,,,,,,Y,"Proprietary eClinical software system (MRN Technologies); eSource, RTSM, eTMF, ePRO, Remote Monitoring, eDiary, Telemedicine",Y,Builds tech internally (MRN Technologies),Y,Alex Guite,Unknown,Todd McGrath (Chief Operating Officer),Alex Wylie (Chief Technology Officer),,https://www.linkedin.com/company/medical-research-network,Y,Highly focused on patient recruitment through home-based trials and community sites; patient-centric delivery model; in-home nursing support; VISION-like recruitment acceleration,"Strong Intera fit: Global site network (80+ sites post-VCTC), DCT focus, patient-centric innovation, proprietary eClinical tech stack, advertises recruitment capabilities. International HQ (UK) but material US presence. Growth-focused with recent acquisitions. AI-enabled recruitment/retention. Innovation-oriented on patient participation model."
Panoramic Science,https://panoramichealth.com/comprehensive-care/clinical-research-and-data/,"Tempe, AZ (Panoramic Health); San Francisco Bay Area, CA (Panoramic Science operations)",Hybrid,"30+ community-based nephrology partner practices with multiple clinical research sites (e.g., multiple Southwest Kidney Institute locations, Virginia Nephrology Group, Southeast Kidney Associates)","15+ states (AZ, CA, FL, GA, IL, IN, KY, MA, MI, OH, PA, RI, TX, VA, WV, WI)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generic/Unnamed,Y - EHR-integrated patient screening tools,Y,,,,,,,,"Cardio-Renal-Metabolic (CVRM) disease: nephrology, cardiovascular, metabolic/diabetes focus","Nephrology, Kidney Disease, CKD/ESKD",English + Spanish (detected),Y (site mentions),"Y - co-located investigators in community practices, decentralized model",Multiple + principal investigators,,Multiple pharma (not named),Multiple,30+ community-based nephrology practices,Likely - founded 2023,"Y - launched 2023, rapidly expanding",Part of Panoramic Health,,Panoramic Health (founded 2017); backed by Audax private equity (2020 strategic partnership),,,,Y - strong content,Y,Y - 1M+ de-identified patient records,Y,Y,Integrated EMR across multi-state platform; real-time patient cohort identification; longitudinal patient database (1M+ de-identified records); structured enrollment tracking,Unknown (emphasis on EMR integration and data analytics but no explicit AI mention),"Builds internally (proprietary EMR integration, patient screening, enrollment tracking)",Y,"Rajiv Poduval, MD, FASN (Executive Chairman & Co-Founder)",Unknown,Unknown,"Lisa Kiehne (President, Panoramic Science - new 2025)",General: (888) 219-3294; site-specific contacts available,https://www.linkedin.com/company/global-nephrology-solutions-llc (Panoramic Health parent),N,"Very strong; 330,000+ active patients in CKD/ESKD spectrum; EMR-integrated patient screening; real-time feasibility assessment; established nephrologist-patient relationships drive retention","Excellent Intera fit: PE-backed (Audax) growth platform (330K+ active patients, rapid expansion); multi-state network (15 states); physician-led (nephrologists); strong EMR integration and patient recruitment capability; explicitly advertises trial enrollment; real-world data focus; however, focused narrowly on nephrology/CVRM (not broad therapeutic mix like ICP ideal); limited explicit AI/tech innovation signals vs. EMR integration"
PhaseWell Research,https://www.phasewell.com,"Nashville, TN",Hybrid,14+,"OH (Gabrail Cancer Center Research-Canton), FL (Renstar Medical-Ocala, 3 locations), NC (Carolina Cancer Research), PR (Latin Clinical Trial Center-San Juan), CT (Chase Medical Research-Hamden/Waterbury)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"Oncology, CNS (Alzheimer's, Parkinson's, MS, epilepsy, brain tumors), Cardiovascular/Metabolic (heart disease, stroke, hypertension, diabetes, hyperlipidemia), Dermatology","Oncology, CNS, Cardiovascular/Metabolic, Dermatology","Spanish (LCTC in San Juan, Puerto Rico)",,Y - multiple sites nationwide,Multiple physician investigators,120+ professionals,360+ top sponsors mentioned,"80% of Top 20, 90% of Top 10 CROs","Multiple research sites, LCTC partnership",Y - formed 2024 with recent growth,"Y - LCTC joined August 2025, growing network",PE - Shore Capital Partners (December 2024),"Gabrail Cancer Center Research, Renstar Medical Research","Shore Capital Partners (PE formation 2024); acquisitions: Gabrail Cancer Center Research (Sept 2024), Renstar Medical Research, Carolina Cancer Research, Latin Clinical Trial Center, Chase Medical Research (March 2026)",,,,Y - content marketing,Likely,,Y,Y,Unknown (CTMS not mentioned),N,Vendors,Y,Carsten Bick,Unknown,Unknown,Leah Zilla (VP Head of Business Development),Unknown,https://www.linkedin.com/company/phasewell-research,N,Owns dedicated sites + embeds research in community practice networks; 1400+ clinical trials completed; contributed to 150+ FDA approvals; robust patient databases; strategic partnerships,"PE-backed multi-site network rapidly acquiring assets (3+ acquisitions in 2024-2026); diversified therapeutic portfolio (oncology, CNS, cardio/metabolic); owns sites + embedded model; explicit patient recruitment strategy; multiple concurrent recruiting studies; founder-led innovation culture; growth-focused add-on model. Strong Intera fit: scale, enrollment demand, recruitment-focused, multi-therapeutic."
Reveles Clinical Services,https://www.revelesclinical.com/,"Southlake, TX",DCT Network,Unknown,"Michigan, Virginia, South Carolina, Texas (noted in input)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proprietary blockchain-based platform,,"Y (Telemedicine, eDiaries, wearables)",Y,,,,,,,"Rare and complex diseases, multi-indication DCT focus",Multiple therapeutic areas with focus on rare/complex diseases and equity,"English, Spanish (focus on BIPOC communities)",Y,Y (Full decentralized clinical trial platform),,,,,Alcanza Clinical Research (June 2023),,"Network expansion for BIPOC recruitment (Detroit, Virginia, Charleston, Dallas-Fort Worth)",,,Independent; founded by R'Kes Starling,,,,Strong content on equity and decentralized trials,,,Y,Y,Personali (AI-driven audience insights platform mentioned),Y,Vendors (uses Personali),Y,R'Kes Starling (Founder & CEO),Tendai Tawonezvi (Director of Operations/Sr. Clinical Project Manager),Unknown,Unknown,info@revelesclinical.com (inferred from web presence),https://www.linkedin.com/company/reveles-clinical-services/,Y,High - equity-driven recruitment in BIPOC communities; in-home services; partnership with Alcanza,"Strong DCT player with AI capabilities (Personali), equity-driven recruitment, home health integration. Multi-state presence across key regions. Good Intera fit due to tech adoption, recruitment focus, and growth trajectory. Smaller than enterprise SMOs but nimble."
Specialty Networks (SN Research),https://specialtynetworks.com,"Cleveland, Ohio",Independent Network,4000+,"Nationwide (Urology, Gastroenterology, Rheumatology)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMR data integration (Veeva, PPS Analytics platform)",,,,,,,,,"Urology (uro-oncology focus), Gastroenterology, Rheumatology","Urology, Rheumatology, Gastroenterology",,,N (Group purchasing org focused on independent practices),"7,000+ physicians across 1,200 practices",,,,Cardinal Health (parent company),,Acquired by Cardinal Health (March 2024) for $1.2B,Cardinal Health acquisition,"Acquired by Cardinal Health (Jan 2024 announced, completed March 2024)",Portfolio of Linden Capital Partners (acquired 2022),,,,Strong analytics and provider education content,,,,Y,"PPS Analytics, EMR/PM integration, NLP, data curation, Datavant ecosystem, real-world evidence platform",Y,Both,Y,Shailendra Sharma,,,"Amy Eaves (VP Real-World Evidence), Ed Izbicki (VP Specialty Programs)",,https://www.linkedin.com/company/specialty-networks,N,"Real-world data from 17M patient lives, SN Research clinical research division, patient identification via precision analytics","Largest uro-oncology network (4,000+ urologists, 1,500+ practices, 17M patient lives) with advanced AI analytics platform (PPS Analytics, NLP). Strong patient identification capability via real-world data. Excellent recruitment feasibility assessment for oncology. Founded 2013 as UroGPO, now diversified to GI/rheumatology. Positioned as GPO/network vs. traditional SMO, but SN Research division provides clinical trial support. Strong Intera fit: scale, AI, recruitment capability, multiple therapeutic areas."
U.S. Renal Care (USRC) Kidney Research,usrenalcare.com,"Plano, TX",Independent Network,32+,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CKD, ESKD, Hypertension, Cardiovascular disease, Metabolic conditions",,,,,,,,,,,,,,Private (possibly PE-backed),,,,,,,,Yes,Unknown,Unknown,Unknown,Yes,Mark Caputo,"Mary Dittrich, MD (Chief Medical Officer)",Unknown,"Geoffrey A. Block, MD (Associate Chief Medical Officer & Senior VP Clinical Research & Medical Affairs)",Unknown,Unknown,No,"Yes - 36K+ patient base, investigator-initiated and industry-sponsored trials","Strong fit: Large, nationwide kidney care provider (32 states) with 36K+ dialysis patients and dedicated kidney research division. Multi-site clinical research network. Enrollment capability strong. Phase I-IV research portfolio. Good geographic diversity and scale for Intera partnership. [Validated: 3 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
American Oncology Network (AON),https://www.aoncology.com,"Fort Myers, FL",Site Network,"92+ physicians, 16 states (as of 2021; current likely 100+)",16+ states nationally distributed,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,Oncology (broad spectrum cancer care),"Oncology (breast, lung, endometrial, hematology)",English + Spanish (detected),,Y - network across 12+ states,,,Multiple pharma partners,Sarah Cannon Research Institute (SCRI),Sarah Cannon Research Institute (since 2020),Y - VP Clinical Research & operations staff,Y - expanding network across multiple states (2020-2024),IPO 2023; public company AONC,"Y - Genesis, Zangmeister, Messino, Tennessee Cancer Specialists (2020-2024)",Publicly traded (IPO 2023); PE-backed operations,,,,,,,Y,Y,"Trial Library integration for patient identification and navigation; specialty pharmacy, pathology services",Y (Trial Library uses AI-enabled patient matching),"Vendors (Trial Library partnership, external tech stack)",Y,Todd Schonherz (since Apr 2021),"Katie Goodman, VP Clinical Research","Ella Friedman, President Network Operations","Alti Rahman, Chief Strategy & Innovation Officer",,https://www.linkedin.com/company/american-oncology-network,N,Growing clinical research presence; partnership with Trial Library for patient identification; active trial enrollment across network,"Fast-growing community oncology network (92+ practices, 16 states, 381+ employees, $934.7M revenue). Recently partnered with AI-enabled Trial Library for patient recruitment. Physician-led with value-based care focus. High volume oncology opportunities. Some clinical trial momentum but oncology-specific focus. Good Intera fit given scale, multi-state presence, and emerging AI/patient identification investments. [Validated: 3 active recruiting cardiometabolic trials on ClinicalTrials.gov.]"
